train/learning_rate,train/value_loss,time/fps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,rollout/ep_len_mean,time/time_elapsed,train/explained_variance,train/policy_loss,time/total_timesteps,time/iterations,eval/mean_reward,eval/mean_ep_length
,,851,5.616795410000001,,,19.33,158,,,135000,27000,,
0.0003,0.0003146671806462109,851,5.62000724,-0.0011599919525906444,27099,19.44,159,0.8228579014539719,-1.2045505854985095e-06,135500,27100,,
0.0003,4.957045894116163e-05,851,5.607990599999999,-0.001147639355622232,27199,18.98,159,0.9914736058562994,6.482683829744929e-07,136000,27200,,
0.0003,0.00013813732948619872,851,5.61347058,-0.0011779781198129058,27299,19.11,160,0.24615883827209473,1.0747555734269554e-07,136500,27300,,
0.0003,0.00029340130276978016,852,5.621327299999999,-0.0011438222136348486,27399,19.18,160,0.889215350151062,1.4981567346694646e-06,137000,27400,,
0.0003,0.00010162054240936413,852,5.63560663,-0.001171049545519054,27499,19.58,161,0.9988661031238735,9.110422070079949e-07,137500,27500,,
0.0003,0.00011221462773391977,852,5.644873399999999,-0.0011920296819880605,27599,19.89,161,0.9760994613170624,-1.0038450000138255e-06,138000,27600,,
0.0003,0.00024644649238325655,852,5.64333061,-0.0011449212906882167,27699,19.93,162,0.5264629423618317,7.586946821902529e-07,138500,27700,,
0.0003,0.0005701587651856244,852,5.6343991099999995,-0.0011383562814444304,27799,19.81,163,0.9898293185979128,-2.2797080418968108e-06,139000,27800,,
0.0003,0.00018496133270673454,852,5.62467443,-0.0011528870090842247,27899,19.62,163,0.7284525334835052,9.17495412977587e-07,139500,27900,,
0.0003,0.0013165210839360952,,,-0.001155442907474935,27999,,,-0.9888191223144531,3.151713372062659e-06,140000,,5.6294868,19.8
,,852,5.621652959999999,,,19.53,164,,,140000,28000,,
0.0003,0.002029514405876398,852,5.609906789999999,-0.0009440808789804578,28099,19.25,164,0.9232767596840858,3.4747831705317367e-06,140500,28100,,
0.0003,0.00011692364932969213,852,5.6122952800000006,-0.0009508539224043489,28199,19.31,165,0.8507393300533295,-5.782876542070881e-07,141000,28200,,
0.0003,0.0009592755814082921,852,5.607875550000001,-0.0010505460668355227,28299,19.15,165,0.9615580253303051,-1.21058872082358e-06,141500,28300,,
0.0003,0.00013486493844538927,852,5.6095596699999986,-0.000981779070571065,28399,19.2,166,0.9263821840286255,7.204016014838999e-07,142000,28400,,
0.0003,0.0003247507265768945,852,5.624278459999999,-0.0009488401701673865,28499,19.45,167,0.972541730850935,-1.3846967021891032e-06,142500,28500,,
0.0003,0.0010955104371532798,852,5.630001570000001,-0.0009693516185507178,28599,19.53,167,0.9713038820773363,1.967716343642678e-06,143000,28600,,
